"index","id","roblox_assetid","roblox_rap","roblox_value","robux_volume_30d_total","popularity_position","is_valued","is_rare","is_projected","roblox_name","roblox_acronym","roblox_lowestprice","price_updated_at","went_limited_at"
144,65,136802867,104161,400000,0,935,true,true,false,"Hooded Frostlord","HFL",1500000,2023-08-07 14:50:23.658,2013-11-28 02:00:15.077
145,130,562478132,243649,400000,500000,688,true,true,false,"Voidwrath","VW",5000000,2023-08-04 02:22:31.693,2016-12-03 06:00:00.000
146,88,74891545,152341,400000,0,42,true,true,false,"Scary Hood","SH",699699,2023-07-06 02:59:41.747,2012-03-15 23:23:49.470
147,169,39247441,325027,380000,1505000,2305,true,false,false,"Subarctic Commando","SaC",649999,2023-08-06 03:04:35.016,2010-11-13 00:06:06.463
148,91,32199211,149943,380000,0,1537,true,true,false,"Chair Racing Intern","CRI",1750000,2023-07-31 11:59:33.516,2011-07-24 05:00:00.000
149,46,35686056,22834,380000,0,2137,true,true,false,"The Bull Moose Vengence","BMV",690420,2023-08-01 18:27:22.048,2010-09-25 01:25:18.943
150,211,271015154,151670,370000,0,1466,true,true,false,"CW Ultimate: Emerald Entropy","Emerald",530000,2023-08-07 08:34:30.102,2016-02-12 06:00:00.000
151,213,26343188,356654,360000,0,2409,true,false,false,"Tattletale","TT",530000,2023-08-06 20:04:42.310,2010-04-29 01:10:43.110
152,19671,4390896732,416853,360000,891000,2353,true,false,false,"Viscount of the Federation","VotF",445000,2023-08-07 04:00:45.244,2019-12-02 06:00:00.000
153,127,77443704,150768,360000,0,2174,true,true,false,"Windforce","WF",600000,2023-08-02 04:56:20.692,2012-04-13 23:13:11.107
154,238,33070696,502967,360000,1980055,2128,true,false,false,"Transient Harmonica","Harm",520000,2023-08-06 03:20:53.046,2010-08-16 05:00:00.000
155,19753,1744051187,493856,350000,0,369,true,true,false,"Real Electric Stunnas","RECS",604000,2023-07-28 20:09:02.659,2022-06-18 03:35:00.000
156,215,188004500,347292,350000,0,964,true,true,false,"CW Ultimate: Amethyst Addiction","Amethyst",567000,2023-08-06 07:23:04.842,2015-02-13 06:00:00.000
157,19722,1744060292,308970,340000,6161676,2469,true,false,false,"Poisoned Horns of the Toxic Wasteland","Poison",340000,2023-08-06 16:38:50.728,2022-05-09 05:00:00.000
158,173,250394771,237311,340000,0,1004,true,true,false,"): Green Sidewinder","GSW",999998,2023-08-07 03:26:57.835,2018-05-25 05:00:00.000
159,100,159229806,283186,340000,0,1919,true,true,false,"Rainbow Periastron Omega","RP",532995,2023-08-05 17:28:22.175,2014-05-30 21:13:15.057
160,214,173783297,109488,330000,0,775,true,true,false,"SFOTH IV Crown of Fire","SFOTH",9.88888888888888e+14,2023-08-02 19:17:20.574,2014-08-22 21:16:28.307
161,19817,362032819,478889,330000,0,463,true,true,false,"The Fire Crown","FC",999999,2023-07-26 20:53:30.682,2022-08-04 00:04:00.000
162,95,68603324,207813,330000,0,1380,true,true,false,"Venomshank","VS",490000,2023-07-03 20:16:53.940,2011-12-27 07:55:09.623
163,235,188888052,174646,330000,0,642,true,true,false,"CW Ultimate: Sapphire Serenity","Sapphire",499997,2023-07-01 20:12:42.811,2014-11-29 06:00:00.000
164,107,17735316,64551,320000,0,1109,true,true,false,"Fire Ruby Crest","FRC",1000000000,2023-07-30 18:01:57.692,2010-04-13 05:00:00.000
165,19764,1402433072,333970,320000,349999,2343,true,false,false,"Agonizingly White Bucket of Ultimate Doom","WDB",455555,2023-08-06 06:19:16.904,2022-06-28 22:11:00.000
166,71,14404355,101601,320000,0,551,true,true,false,"The Dread Visage of xMaximusx","xMax",0,2023-08-06 10:28:00.186,2010-09-22 05:00:00.000
